Date,Day,Open for Day,High for Day,Low  for Day,Close for Day, %Chg for Day,Volume (thous) for Day
2005-04-01,Fr,       1400.44,       1433.36,       1397.46,       1424.31,1706,            na
2005-03-31,Th,       1398.40,       1413.04,       1389.64,       1400.42,-50,            na
2005-03-30,We,       1351.86,       1404.25,       1351.86,       1401.12,3958,            na
2005-03-29,Tu,       1348.63,       1369.88,       1341.06,       1347.77,-16,            na
2005-03-28,Mo,       1363.79,       1363.79,       1325.09,       1347.99,-1194,            na
2005-03-25,Fr,            na,            na,            na,            na,            na,            na
2005-03-24,Th,            na,            na,            na,            na,            na,            na
2005-03-23,We,       1390.07,       1390.07,       1357.92,       1364.28,-2102,            na
2005-03-22,Tu,       1411.18,       1415.65,       1385.93,       1393.57,-1473,            na
2005-03-21,Mo,       1458.35,       1458.35,       1406.59,       1414.40,-3003,            na
2005-03-18,Fr,       1454.23,       1471.05,       1450.00,       1458.19,361,            na
2005-03-17,Th,       1388.47,       1452.94,       1388.04,       1452.94,4672,            na
2005-03-16,We,       1386.08,       1399.28,       1372.39,       1388.09,145,            na
2005-03-15,Tu,       1374.47,       1417.41,       1374.35,       1386.08,815,            na
2005-03-14,Mo,       1437.17,       1439.42,       1367.45,       1374.88,-4253,            na
2005-03-11,Fr,       1467.66,       1486.43,       1435.73,       1435.95,-2442,            na
2005-03-10,Th,       1523.21,       1523.21,       1419.48,       1471.89,-3799,            na
2005-03-09,We,       1596.81,       1598.61,       1523.99,       1530.02,-4183,            na
2005-03-08,Tu,       1590.74,       1613.86,       1589.22,       1596.81,382,            na
2005-03-07,Mo,       1581.17,       1591.39,       1573.98,       1590.74,593,            na
2005-03-04,Fr,       1576.50,       1612.73,       1548.73,       1581.36,268,            na
2005-03-03,Th,       1583.47,       1598.74,       1574.55,       1577.13,-332,            na
2005-03-02,We,       1598.66,       1613.82,       1582.39,       1582.39,-1000,            na
2005-03-01,Tu,       1558.62,       1599.42,       1550.35,       1598.38,2551,            na
2005-02-28,Mo,       1603.47,       1619.26,       1554.05,       1558.62,-2606,            na
2005-02-25,Fr,       1532.37,       1607.47,       1532.37,       1600.32,4621,            na
2005-02-24,Th,       1522.03,       1539.22,       1510.92,       1529.64,575,            na
2005-02-23,We,       1559.66,       1571.02,       1520.22,       1520.90,-2258,            na
2005-02-22,Tu,       1536.74,       1556.03,       1533.73,       1556.03,1435,            na
2005-02-21,Mo,       1556.78,       1569.32,       1533.85,       1534.01,-1525,            na
2005-02-18,Fr,       1531.91,       1566.00,       1531.91,       1557.77,1691,            na
